batch,n_joins,base,max,min,mean,maxwin,minwin,meanwin
1000,1,0.9163,0.9218,0.8638,0.89255,0.005499999999999949,-0.05249999999999999,-0.02375000000000005
2000,3,0.9208,0.9312,0.8135,0.8990499999999999,0.010400000000000076,-0.10729999999999995,-0.021750000000000047
3000,4,0.9475,0.9475,0.9435,0.9454,0.0,-0.0040000000000000036,-0.0020999999999999908
4000,8,0.941,0.8903,0.84,0.86515,-0.05069999999999997,-0.10099999999999998,-0.07584999999999997
5000,9,0.9602,0.9602,0.9408,0.9501999999999999,0.0,-0.019400000000000084,-0.01000000000000012
6000,13,0.9596,0.9482,0.9285,0.9372750000000001,-0.011399999999999966,-0.031100000000000017,-0.022324999999999928
